column_name,data_type,n_total,n_filled,fill_pct,n_distinct,val_min,val_max,val_mean,val_std
credit_enhancement_proceeds,numeric,14130111,30,0.0,17,0.0,120285.63,28577.0937,36045.3544
interest_bearing_upb,numeric,14130111,0,0.0,0,,,,
associated_taxes_for_holding_property,numeric,14130111,30,0.0,20,0.0,10315.08,1717.387,2314.3917
asset_recovery_costs,numeric,14130111,30,0.0,4,0.0,2500.0,400.0,821.5838
foreclosure_costs,numeric,14130111,30,0.0,29,105.0,11786.33,3427.3993,2788.2733
unscheduled_principal_current,numeric,14130111,0,0.0,0,,,,
repurchase_date,date,14130111,0,0.0,0,,,,
scheduled_principal_current,numeric,14130111,0,0.0,0,,,,
last_paid_installment_date,date,14130111,125,0.0,17,,,,
disposition_date,date,14130111,65,0.0,11,,,,
zero_balance_code_change_date,date,14130111,0,0.0,0,,,,
initial_fixedrate_period,integer,14130111,0,0.0,0,,,,
loan_holdback_indicator,character varying,14130111,0,0.0,0,,,,
interest_only_first_principal_and_interest_payment_date,date,14130111,0,0.0,0,,,,
cumulative_credit_event_net_gain_or_loss,numeric,14130111,0,0.0,0,,,,
foreclosure_date,date,14130111,125,0.0,11,,,,
property_preservation_and_repair_costs,numeric,14130111,30,0.0,30,0.0,16685.94,3107.854,3992.9522
miscellaneous_holding_expenses_and_credits,numeric,14130111,30,0.0,24,-1846.9,5297.27,574.445,1563.6875
net_sales_proceeds,numeric,14130111,30,0.0,28,0.0,664000.0,200836.1497,189238.9161
loan_holdback_effective_date,date,14130111,0,0.0,0,,,,
current_period_credit_event_net_gain_or_loss,numeric,14130111,0,0.0,0,,,,
delinquent_accrued_interest,numeric,14130111,0,0.0,0,,,,
arm_initial_fixedrate_period_5_yr_indicator,character varying,14130111,0,0.0,0,,,,
repurchase_make_whole_proceeds,numeric,14130111,30,0.0,2,0.0,165244.28,5508.1427,30169.3399
current_list_price,numeric,14130111,0,0.0,0,,,,
coborrower_credit_score_current,integer,14130111,0,0.0,0,,,,
coborrower_credit_score_at_issuance,integer,14130111,0,0.0,0,,,,
current_period_modification_loss_amount,numeric,14130111,0,0.0,0,,,,
original_list_price,numeric,14130111,0,0.0,0,,,,
other_foreclosure_proceeds,numeric,14130111,30,0.0,5,0.0,92118.47,3157.3483,16807.0269
borrower_credit_score_current,integer,14130111,0,0.0,0,,,,
borrower_credit_score_at_issuance,integer,14130111,0,0.0,0,,,,
original_list_start_date,date,14130111,0,0.0,0,,,,
current_list_start_date,date,14130111,0,0.0,0,,,,
cumulative_modification_loss_amount,numeric,14130111,0,0.0,0,,,,
mortgage_insurance_cancellation_indicator,character varying,14130111,0,0.0,0,,,,
months_to_amortization,integer,14130111,0,0.0,0,,,,
initial_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,
mortgage_margin,numeric,14130111,0,0.0,0,,,,
periodic_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,
master_servicer,character varying,14130111,0,0.0,0,,,,
upb_at_issuance,numeric,14130111,0,0.0,0,,,,
interest_rate_adjustment_frequency,integer,14130111,0,0.0,0,,,,
arm_cap_structure,character varying,14130111,0,0.0,0,,,,
index,character varying,14130111,0,0.0,0,,,,
next_interest_rate_adjustment_date,date,14130111,0,0.0,0,,,,
reference_pool_id,character varying,14130111,0,0.0,0,,,,
lifetime_interest_rate_cap_up_percent,numeric,14130111,0,0.0,0,,,,
arm_plan_number,integer,14130111,0,0.0,0,,,,
deal_name,character varying,14130111,0,0.0,0,,,,
next_payment_change_date,date,14130111,0,0.0,0,,,,
arm_product_type,character varying,14130111,0,0.0,0,,,,
arm_balloon_indicator,character varying,14130111,0,0.0,0,,,,
modificationrelated_noninterest_bearing_upb,numeric,14130111,1704,0.01,450,0.0,330096.53,57170.5159,53200.0975
total_deferral_amount,numeric,14130111,4664,0.03,1012,0.0,60752.38,10270.2778,7660.5462
alternative_delinquency_resolution_count,integer,14130111,4664,0.03,2,1.0,2.0,1.0049,0.0701
foreclosure_principal_writeoff_amount,numeric,14130111,6397,0.05,1,0.0,0.0,0.0,0.0
principal_forgiveness_amount,numeric,14130111,6397,0.05,1,0.0,0.0,0.0,0.0
zero_balance_code,character varying,14130111,95086,0.67,6,,,,
upb_at_the_time_of_removal,numeric,14130111,95086,0.67,65125,0.0,1714000.0,328840.2938,216547.4833
zero_balance_effective_date,date,14130111,95086,0.67,20,,,,
repurchase_make_whole_proceeds_flag,character varying,14130111,95086,0.67,2,,,,
mortgage_insurance_percentage,numeric,14130111,5166815,36.57,21,6.0,40.0,26.2933,6.3254
mortgage_insurance_type,character varying,14130111,5166815,36.57,2,,,,
coborrower_credit_score_at_origination,integer,14130111,6276242,44.42,310,461.0,839.0,765.3029,39.901
total_principal_current,numeric,14130111,13159135,93.13,581063,-653812.01,1713851.3,3368.4773,35026.4417
remaining_months_to_maturity,integer,14130111,14033324,99.32,360,1.0,360.0,335.464,51.2508
servicing_activity_indicator,character varying,14130111,14035025,99.33,2,,,,
servicer_name,character varying,14130111,14035025,99.33,33,,,,
loan_payment_history,character varying,14130111,14035025,99.33,37502,,,,
remaining_months_to_legal_maturity,integer,14130111,14035025,99.33,335,66.0,482.0,342.0589,41.1269
maturity_date,date,14130111,14035025,99.33,300,,,,
modification_flag,character varying,14130111,14035135,99.33,2,,,,
loan_age,integer,14130111,14035025,99.33,38,-1.0,36.0,7.2438,4.9371
current_interest_rate,numeric,14130111,14035150,99.33,2292,2.25,9.125,6.7031,0.6322
borrower_credit_score_at_origination,integer,14130111,14106124,99.83,322,472.0,842.0,759.9965,42.163
high_loan_to_value_hltv_refinance_option_indicator,character varying,14130111,14130111,100.0,1,,,,
borrower_assistance_plan,character varying,14130111,14130111,100.0,5,,,,
special_eligibility_program,character varying,14130111,14130111,100.0,4,,,,
relocation_mortgage_indicator,character varying,14130111,14130111,100.0,2,,,,
alternative_delinquency_resolution,character varying,14130111,14130111,100.0,4,,,,
first_payment_date,date,14130111,14130111,100.0,21,,,,
high_balance_loan_indicator,character varying,14130111,14130111,100.0,2,,,,
origination_date,date,14130111,14130111,100.0,35,,,,
channel,character varying,14130111,14130111,100.0,3,,,,
monthly_reporting_period,date,14130111,14130111,100.0,21,,,,
loan_identifier,character varying,14130111,14130111,100.0,970976,,,,
current_actual_upb,numeric,14130111,14130111,100.0,4645327,0.0,2212000.0,318777.2368,182164.9874
original_interest_rate,numeric,14130111,14130111,100.0,2292,2.25,9.125,6.7053,0.6327
original_upb,numeric,14130111,14130111,100.0,1291,7000.0,2212000.0,329389.7433,183164.2708
original_loan_term,integer,14130111,14130111,100.0,149,85.0,360.0,349.2572,40.9362
seller_name,character varying,14130111,14130111,100.0,30,,,,
occupancy_status,character varying,14130111,14130111,100.0,3,,,,
property_type,character varying,14130111,14130111,100.0,5,,,,
loan_purpose,character varying,14130111,14130111,100.0,3,,,,
first_time_home_buyer_indicator,character varying,14130111,14130111,100.0,3,,,,
original_combined_loan_to_value_ratio_cltv,integer,14130111,14130111,100.0,104,2.0,105.0,74.9637,19.8514
debttoincome_dti,integer,14130111,14129837,100.0,64,1.0,64.0,37.3667,9.2378
original_loan_to_value_ratio_ltv,integer,14130111,14130111,100.0,96,2.0,97.0,74.6393,19.6879
number_of_borrowers,integer,14130111,14130111,100.0,6,1.0,7.0,1.4658,0.5389
number_of_units,integer,14130111,14130111,100.0,4,1.0,4.0,1.0328,0.2368
property_state,character varying,14130111,14130111,100.0,54,,,,
current_loan_delinquency_status,character varying,14130111,14130111,100.0,21,,,,
zip_code_short,character varying,14130111,14130071,100.0,888,,,,
prepayment_penalty_indicator,character varying,14130111,14130111,100.0,1,,,,
metropolitan_statistical_area_msa,character varying,14130111,14130111,100.0,409,,,,
amortization_type,character varying,14130111,14130111,100.0,1,,,,
interest_only_loan_indicator,character varying,14130111,14130111,100.0,1,,,,
property_valuation_method,character varying,14130111,14130111,100.0,4,,,,
payment_deferral_modification_event_indicator,character varying,14130111,14130111,100.0,1,,,,
